Parcel Number,APN,Date Sold
K2011-01016,13-430-20-84-03-0-00-000,8/1/2012
K2011-01029,13-730-05-15-00-0-00-000,8/1/2012
K2011-01030,13-730-06-22-02-0-00-000,8/1/2012
K2011-01065,13-830-23-16-00-0-00-000,8/1/2012
K2011-01079,13-840-17-03-00-0-00-000,8/1/2012
K2011-01080,13-840-17-31-00-0-00-000,8/1/2012
K2011-01105,13-930-26-45-00-0-00-000,8/1/2012
K2011-01106,13-930-26-46-00-0-00-000,8/1/2012
K2011-01107,13-930-26-47-00-0-00-000,8/1/2012
K2011-01119,13-940-08-02-00-0-00-000,8/1/2012
K2011-01146,14-940-21-02-00-0-00-000,8/1/2012
K2011-01147,14-940-21-04-00-0-00-000,8/1/2012
K2011-01167,27-310-04-55-00-0-00-000,8/1/2012
K2011-01168,27-410-09-04-00-0-00-000,8/1/2012
K2011-01169,27-410-13-09-00-0-00-000,8/1/2012
K2011-01170,27-410-14-26-00-0-00-000,8/1/2012
K2011-01174,27-530-02-01-01-0-00-000,8/1/2012
K2011-01184,28-110-11-76-00-0-00-000,8/1/2012
K2011-01199,28-120-22-12-00-0-00-000,8/1/2012
K2011-01209,28-120-36-19-00-0-00-000,8/1/2012
K2011-01212,28-120-38-26-00-0-00-000,8/1/2012
K2011-01215,28-130-01-06-00-0-00-000,8/1/2012
K2011-01253,28-140-17-02-00-0-00-000,8/1/2012
K2011-01279,28-220-17-22-00-0-00-000,8/1/2012
K2011-01280,28-220-18-07-00-0-00-000,8/1/2012
K2011-01302,28-230-13-11-00-0-00-000,8/1/2012
K2011-01304,28-230-18-23-00-0-00-000,8/1/2012
K2011-01336,28-310-26-04-00-0-00-000,8/1/2012
K2011-01338,28-310-30-15-00-0-00-000,8/1/2012
K2011-01340,28-320-01-31-00-0-00-000,8/1/2012
K2011-01352,28-320-20-06-00-0-00-000,8/1/2012
K2011-01377,28-340-36-36-00-0-00-000,8/1/2012
K2011-01394,28-420-18-44-00-0-00-000,8/1/2012
K2011-01398,28-420-18-73-00-0-00-000,8/1/2012
K2011-01423,28-420-28-09-00-0-00-000,8/1/2012
K2011-01424,28-420-29-04-00-0-00-000,8/1/2012
K2011-01462,28-430-26-08-00-0-00-000,8/1/2012
K2011-01463,28-430-26-09-00-0-00-000,8/1/2012
K2011-01473,28-430-32-31-00-0-00-000,8/1/2012
K2011-01480,28-430-34-36-00-0-00-000,8/1/2012
K2011-01488,28-430-39-25-00-0-00-000,8/1/2012
K2011-01489,28-430-40-19-00-0-00-000,8/1/2012
K2011-01495,28-430-42-23-00-0-00-000,8/1/2012
K2011-01506,28-440-12-17-00-0-00-000,8/1/2012
K2011-01510,28-440-18-13-00-0-00-000,8/1/2012
K2011-01511,28-440-18-18-00-0-00-000,8/1/2012
K2011-01513,28-440-18-24-00-0-00-000,8/1/2012
K2011-01520,28-440-24-25-00-0-00-000,8/1/2012
K2011-01528,28-440-29-33-00-0-00-000,8/1/2012
K2011-01531,28-440-33-30-00-0-00-000,8/1/2012
K2011-01534,28-440-34-22-00-0-00-000,8/1/2012
K2011-01543,28-510-12-30-00-0-00-000,8/1/2012
K2011-01551,28-510-16-29-00-0-00-000,8/1/2012
K2011-01569,28-520-24-03-00-0-00-000,8/1/2012
K2011-01607,28-530-12-04-00-0-00-000,8/1/2012
K2011-01608,28-530-12-06-00-0-00-000,8/1/2012
K2011-01624,28-530-18-40-00-0-00-000,8/1/2012
K2011-01642,28-540-01-03-02-0-00-000,8/1/2012
K2011-01653,28-540-11-36-00-0-00-000,8/1/2012
K2011-01694,28-810-12-21-00-0-00-000,8/1/2012
K2011-01696,28-810-13-10-00-0-00-000,8/1/2012
K2011-01702,28-810-22-05-00-0-00-000,8/1/2012
K2011-01703,28-810-22-10-00-0-00-000,8/1/2012
K2011-01722,28-820-08-21-00-0-00-000,8/1/2012
K2011-01723,28-820-12-11-00-0-00-000,8/1/2012
K2011-01726,28-820-14-17-00-0-00-000,8/1/2012
K2011-01729,28-820-15-20-00-0-00-000,8/1/2012
K2011-01745,28-820-27-33-00-0-00-000,8/1/2012
K2011-01748,28-820-29-10-00-0-00-000,8/1/2012
K2011-01753,28-820-32-08-00-0-00-000,8/1/2012
K2011-01772,28-830-21-05-00-0-00-000,8/1/2012
K2011-01778,28-830-24-06-00-0-00-000,8/1/2012
K2011-01790,28-910-06-16-00-0-00-000,8/1/2012
K2011-01796,28-910-07-20-00-0-00-000,8/1/2012
K2011-01797,28-910-09-21-00-0-00-000,8/1/2012
K2011-01812,28-910-30-19-00-0-00-000,8/1/2012
K2011-01813,28-910-31-33-00-0-00-000,8/1/2012
K2011-01816,28-910-32-29-00-0-00-000,8/1/2012
K2011-01833,28-920-13-13-00-0-00-000,8/1/2012
K2011-01863,28-930-23-02-00-0-00-000,8/1/2012
K2011-01867,28-930-24-05-00-0-00-000,8/1/2012
K2011-01868,28-930-24-13-00-0-00-000,8/1/2012
K2011-01870,28-930-24-40-00-0-00-000,8/1/2012
K2011-01872,28-930-25-07-00-0-00-000,8/1/2012
K2011-01877,28-930-28-22-00-0-00-000,8/1/2012
K2011-01882,28-930-30-08-00-0-00-000,8/1/2012
K2011-01888,28-940-10-12-00-0-00-000,8/1/2012
K2011-01894,28-940-18-30-00-0-00-000,8/1/2012
K2011-01899,28-940-23-24-00-0-00-000,8/1/2012
K2011-01934,29-140-42-15-00-0-00-000,8/1/2012
K2011-01945,29-330-10-08-00-0-00-000,8/1/2012
K2011-01956,29-420-15-20-00-0-00-000,8/1/2012
K2011-01957,29-420-15-21-00-0-00-000,8/1/2012
K2011-01978,29-610-22-02-00-0-00-000,8/1/2012
K2011-01982,29-610-23-27-00-0-00-000,8/1/2012
K2011-01983,29-610-24-14-00-0-00-000,8/1/2012
K2011-01984,29-610-24-15-00-0-00-000,8/1/2012
K2011-01985,29-610-24-32-01-2-00-000,8/1/2012
K2011-01988,29-610-30-11-00-0-00-000,8/1/2012
K2011-02011,29-640-06-22-00-0-00-000,8/1/2012
K2011-02018,29-640-13-21-00-0-00-000,8/1/2012
K2011-02020,29-640-22-01-00-0-00-000,8/1/2012
K2011-02021,29-640-22-12-00-0-00-000,8/1/2012
K2011-02022,29-640-22-37-01-0-00-000,8/1/2012
K2011-02055,29-710-04-13-00-0-00-000,8/1/2012
K2011-02084,29-710-24-05-00-0-00-000,8/1/2012
K2011-02127,29-740-17-08-00-0-00-000,8/1/2012
