Parcel Number,APN,Date Sold
K2012-01042,13-810-14-20-00-0-00-000,8/1/2013
K2012-01087,13-930-13-13-00-0-00-000,8/1/2013
K2012-01102,13-940-24-30-00-0-00-000,8/1/2013
K2012-01111,13-940-33-11-00-0-00-000,8/1/2013
K2012-01161,28-110-14-09-00-0-00-000,8/1/2013
K2012-01219,28-210-04-16-00-0-00-000,8/1/2013
K2012-01227,28-210-19-05-00-0-00-000,8/1/2013
K2012-01248,28-230-10-14-00-0-00-000,8/1/2013
K2012-01259,28-230-21-06-00-0-00-000,8/1/2013
K2012-01294,28-310-20-13-00-0-00-000,8/1/2013
K2012-01323,28-330-01-14-00-0-00-000,8/1/2013
K2012-01339,28-410-23-33-00-0-00-000,8/1/2013
K2012-01371,28-430-03-05-00-0-00-000,8/1/2013
K2012-01391,28-430-17-04-00-0-00-000,8/1/2013
K2012-01437,28-440-22-07-00-0-00-000,8/1/2013
K2012-01442,28-440-25-07-00-0-00-000,8/1/2013
K2012-01447,28-440-32-16-00-0-00-000,8/1/2013
K2012-01459,28-510-05-14-01-0-00-000,8/1/2013
K2012-01472,28-520-03-19-00-0-00-000,8/1/2013
K2012-01486,28-520-25-01-00-0-00-000,8/1/2013
K2012-01487,28-520-25-08-00-0-00-000,8/1/2013
K2012-01500,28-520-43-07-00-0-00-000,8/1/2013
K2012-01521,28-530-15-68-01-0-00-000,8/1/2013
K2012-01522,28-530-16-05-00-0-00-000,8/1/2013
K2012-01525,28-530-17-13-00-0-00-000,8/1/2013
K2012-01529,28-530-17-52-00-0-00-000,8/1/2013
K2012-01542,28-530-32-29-00-0-00-000,8/1/2013
K2012-01549,28-540-07-02-00-0-00-000,8/1/2013
K2012-01556,28-540-10-41-00-0-00-000,8/1/2013
K2012-01580,28-610-13-05-00-0-00-000,8/1/2013
K2012-01583,28-620-04-05-00-0-00-000,8/1/2013
K2012-01606,28-810-10-12-00-0-00-000,8/1/2013
K2012-01628,28-810-37-09-00-0-00-000,8/1/2013
K2012-01743,28-930-13-25-00-0-00-000,8/1/2013
K2012-01772,28-930-19-09-00-0-00-000,8/1/2013
K2012-01793,28-930-27-24-00-0-00-000,8/1/2013
K2012-01802,28-930-30-04-00-0-00-000,8/1/2013
K2012-01841,28-940-21-33-00-0-00-000,8/1/2013
K2012-01905,29-610-31-17-00-0-00-000,8/1/2013
K2012-01907,29-610-33-02-00-0-00-000,8/1/2013
K2012-01908,29-610-33-03-00-0-00-000,8/1/2013
K2012-02071,29-640-24-05-00-0-00-000,8/1/2013
K2012-02090,29-710-03-33-00-0-00-000,8/1/2013
K2012-02103,29-710-15-11-00-0-00-000,8/1/2013
K2012-02164,29-740-14-12-00-0-00-000,8/1/2013
K2012-02167,29-740-17-10-00-0-00-000,8/1/2013
K2012-02171,29-740-17-32-00-0-00-000,8/1/2013
K2012-02172,29-740-20-08-00-0-00-000,8/1/2013
K2012-02180,29-740-27-40-00-0-00-000,8/1/2013
K2012-02195,29-840-04-19-00-0-00-000,8/1/2013
K2012-02220,30-110-04-30-00-0-00-000,8/1/2013
K2012-02234,30-110-17-41-00-0-00-000,8/1/2013
K2012-02265,30-130-01-05-00-0-00-000,8/1/2013
K2012-02320,30-140-09-23-00-0-00-000,8/1/2013
K2012-02339,30-140-24-10-00-0-00-000,8/1/2013
K2012-02397,30-610-10-01-00-0-00-000,8/1/2013
K2012-02431,30-620-06-31-00-0-00-000,8/1/2013
K2012-02496,30-710-02-34-00-0-00-000,8/1/2013
K2012-02540,30-720-01-25-00-0-00-000,8/1/2013
K2012-02546,30-720-14-04-00-0-00-000,8/1/2013
K2012-02565,30-740-03-19-00-0-00-000,8/1/2013
K2012-02566,30-740-03-23-00-0-00-000,8/1/2013
K2012-02567,30-740-04-25-00-0-00-000,8/1/2013
K2012-02570,30-740-06-06-00-0-00-000,8/1/2013
K2012-02575,30-740-09-17-00-0-00-000,8/1/2013
K2012-02580,30-740-11-11-00-0-00-000,8/1/2013
K2012-02581,30-740-14-03-00-0-00-000,8/1/2013
K2012-02584,30-740-14-22-00-0-00-000,8/1/2013
K2012-02588,30-740-16-19-00-0-00-000,8/1/2013
K2012-02591,30-740-19-04-00-0-00-000,8/1/2013
