Parcel Number,APN,Date Sold
K2013-01314,28-320-15-14-00-0-00-000,8/1/2014
K2013-01315,28-320-15-15-00-0-00-000,8/1/2014
K2013-01342,28-410-16-31-03-0-00-000,8/1/2014
K2013-01375,28-420-18-47-00-0-00-000,8/1/2014
K2013-01383,28-420-22-13-00-0-00-000,8/1/2014
K2013-01430,28-430-09-19-00-0-00-000,8/1/2014
K2013-01441,28-430-27-26-00-0-00-000,8/1/2014
K2013-01631,28-620-05-16-00-0-00-000,8/1/2014
K2013-01774,28-910-19-24-00-0-00-000,8/1/2014
K2013-01819,28-930-01-15-00-0-00-000,8/1/2014
K2013-01844,28-930-29-01-00-0-00-000,8/1/2014
K2013-02087,29-740-11-20-00-0-00-000,8/1/2014
K2013-02088,29-740-11-21-00-0-00-000,8/1/2014
K2013-02092,29-740-17-07-00-0-00-000,8/1/2014
K2013-02096,29-740-19-15-00-0-00-000,8/1/2014
K2013-02097,29-740-20-15-00-0-00-000,8/1/2014
K2013-02107,29-740-28-38-00-0-00-000,8/1/2014
K2013-02108,29-740-29-32-00-0-00-000,8/1/2014
K2013-02109,29-740-30-20-00-0-00-000,8/1/2014
K2013-02112,29-740-31-23-00-0-00-000,8/1/2014
K2013-02226,30-120-15-18-00-0-00-000,8/1/2014
K2013-02278,30-130-31-29-00-0-00-000,8/1/2014
K2013-02279,30-130-31-30-00-0-00-000,8/1/2014
K2013-02280,30-130-31-31-00-0-00-000,8/1/2014
K2013-02380,30-610-28-13-00-0-00-000,8/1/2014
K2013-02490,30-740-02-18-00-0-00-000,8/1/2014
K2013-02491,30-740-02-19-00-0-00-000,8/1/2014
K2013-02496,30-740-06-18-00-0-00-000,8/1/2014
K2013-02501,30-740-12-19-00-0-00-000,8/1/2014
K2013-02504,30-740-13-06-00-0-00-000,8/1/2014
K2013-02505,30-740-13-25-00-0-00-000,8/1/2014
K2013-02549,31-220-07-05-00-0-00-000,8/1/2014
K2013-02752,31-340-13-21-00-0-00-000,8/1/2014
K2013-02829,31-430-12-06-00-0-00-000,8/1/2014
K2013-02880,31-740-04-44-00-0-00-000,8/1/2014
K2013-02882,31-740-05-15-00-0-00-000,8/1/2014
K2013-02883,31-740-05-22-00-0-00-000,8/1/2014
K2013-02890,31-820-05-32-00-0-00-000,8/1/2014
K2013-03019,45-310-02-09-01-1-00-000,8/1/2014
K2013-03083,46-320-12-08-00-0-00-000,8/1/2014
K2013-03273,47-610-04-09-00-0-00-000,8/1/2014
K2013-03382,47-740-16-19-00-0-00-000,8/1/2014
K2013-03390,47-740-25-12-00-0-00-000,8/1/2014
K2009-01543/K2012-01623,28-810-24-11-00-0-00-000,8/1/2014
K2009-02318/K2012-02672,31-310-01-10-00-0-00-000,8/1/2014
K2009-02429/K2012-02866,31-420-08-15-00-0-00-000,8/1/2014
K2009-02935/K2012-03632,64-120-18-13-00-0-00-000,8/1/2014
K2010-01693/K2013-01752,28-840-18-08-00-0-00-000,8/1/2014
K2010-02408/K2013-02492,30-740-04-24-00-0-00-000,8/1/2014
K2010-03178/K2013-03369,47-740-08-10-00-0-00-000,8/1/2014
K2010-13020:K2013-02462,30-710-30-23-00-0-00-000,8/1/2014
K2010-13033/K2013-01391,28-420-22-26-00-0-00-000,8/1/2014
K2011-13002/K2013-01367,28-420-15-20-00-0-00-000,8/1/2014
K2011-13021/K2013-02701,31-330-10-24-00-0-00-000,8/1/2014
K2011-13022/K2013-02955,31-930-12-05-00-0-00-000,8/1/2014
K2011-13023/K2013-02956,31-930-12-06-00-0-00-000,8/1/2014
K2011-13031/K2013-02424,30-640-29-20-00-0-00-000,8/1/2014
K2012-02572,30-740-07-03-00-0-00-000,8/1/2014
K2012-13007/K2013-01765,28-910-11-24-00-0-00-000,8/1/2014
