Parcel Number,APN,Date Sold
K2015-01180,28-120-25-31-00-0-00-000,8/1/2016
K2015-01187,28-120-31-22-00-0-00-000,8/1/2016
K2015-01199,28-130-15-13-00-0-00-000,8/1/2016
K2015-01226,28-210-21-07-00-0-00-000,8/1/2016
K2015-01245,28-220-23-32-00-0-00-000,8/1/2016
K2015-01284,28-240-10-25-01-0-00-000,8/1/2016
K2015-01352,28-420-20-37-00-0-00-000,8/1/2016
K2015-01402,28-430-35-15-00-0-00-000,8/1/2016
K2015-01409,28-430-39-10-00-0-00-000,8/1/2016
K2015-01417,28-440-02-18-00-0-00-000,8/1/2016
K2015-01433,28-440-11-11-00-0-00-000,8/1/2016
K2015-01484,28-520-15-17-00-0-00-000,8/1/2016
K2015-01497,28-520-31-20-00-0-00-000,8/1/2016
K2015-01508,28-530-02-13-00-0-00-000,8/1/2016
K2015-01525,28-530-15-34-01-2-00-000,8/1/2016
K2015-01566,28-540-04-38-00-0-00-000,8/1/2016
K2015-01573,28-540-09-19-00-0-00-000,8/1/2016
K2015-01602,28-610-08-24-00-0-00-000,8/1/2016
K2015-01607,28-610-12-15-00-0-00-000,8/1/2016
K2015-01613,28-710-07-02-00-0-00-000,8/1/2016
K2015-01624,28-810-09-18-00-0-00-000,8/1/2016
K2015-01665,28-820-25-13-01-0-00-000,8/1/2016
K2015-01669,28-820-26-46-00-0-00-000,8/1/2016
K2015-01691,28-830-10-25-00-0-00-000,8/1/2016
K2015-01704,28-830-25-25-00-0-00-000,8/1/2016
K2015-01707,28-840-11-09-00-0-00-000,8/1/2016
K2015-01708,28-840-12-22-00-0-00-000,8/1/2016
K2015-01766,28-930-05-16-00-0-00-000,8/1/2016
K2015-01767,28-930-05-21-00-0-00-000,8/1/2016
K2015-01775,28-930-19-11-00-0-00-000,8/1/2016
K2015-01783/K82-223,28-930-25-17-00-0-00-000,8/1/2016
K2015-01883,29-610-22-10-00-0-00-000,8/1/2016
K2015-02102,29-640-25-12-00-0-00-000,8/1/2016
K2015-02104,29-640-25-14-00-0-00-000,8/1/2016
K2015-02105,29-640-25-15-00-0-00-000,8/1/2016
K2015-02117,29-710-07-28-00-0-00-000,8/1/2016
K2015-02260,30-120-03-61-00-0-00-000,8/1/2016
K2015-02311,30-130-19-40-00-0-00-000,8/1/2016
K2015-02372,30-140-32-24-00-0-00-000,8/1/2016
K2015-02426,30-620-07-12-00-0-00-000,8/1/2016
K2015-02432,30-620-11-33-00-0-00-000,8/1/2016
K2015-02469,30-640-22-20-00-0-00-000,8/1/2016
K2015-02480,30-640-31-03-00-0-00-000,8/1/2016
K2015-02552,30-740-10-18-00-0-00-000,8/1/2016
K2015-02559,30-740-16-09-00-0-00-000,8/1/2016
K2015-02605,31-220-24-19-00-0-00-000,8/1/2016
K2015-02734,31-330-05-25-00-0-00-000,8/1/2016
K2015-02794,31-410-05-03-00-0-00-000,8/1/2016
K2015-02878,31-430-25-34-00-0-00-000,8/1/2016
K2015-02888,31-520-04-13-00-0-00-000,8/1/2016
K2015-02930,31-810-03-26-00-0-00-000,8/1/2016
K2015-02951,31-840-05-17-00-0-00-000,8/1/2016
K2015-02952,31-910-05-12-00-0-00-000,8/1/2016
K2015-02976,31-920-21-02-00-0-00-000,8/1/2016
K2015-03028,32-920-02-02-00-0-00-000,8/1/2016
K2015-03061,46-220-06-25-00-0-00-000,8/1/2016
K2015-03278,47-140-08-12-00-0-00-000,8/1/2016
K2015-03398,47-740-16-20-00-0-00-000,8/1/2016
K2015-03439,48-120-12-26-02-0-00-000,8/1/2016
K2015-03612,65-110-02-09-00-0-00-000,8/1/2016
K2010-01792/K2013-01853,28-940-08-20-00-0-00-000,8/1/2016
K2010-15010/K2013-15312/K2014-02646,31-330-19-32-00-0-00-000,8/1/2016
K2011-15102/K2014-15411/K2015-01705,28-830-26-06-00-0-00-000,8/1/2016
K2012-01403/K2015-01392,28-430-30-25-00-0-00-000,8/1/2016
K2012-15200/K2015-01078,13-840-21-33-00-0-00-000,8/1/2016
K2012-15205/K2015-01163,28-110-11-91-00-0-00-000,8/1/2016
K2012-15206/K2015-01169,28-120-03-20-00-0-00-000,8/1/2016
K2012-15207/K2015-01176,28-120-19-18-00-0-00-000,8/1/2016
K2012-15208/K2015-01229,28-220-04-12-00-0-00-000,8/1/2016
K2012-15212/K2015-01237,28-220-10-06-00-0-00-000,8/1/2016
K2012-15213/K2015-01238,28-220-10-08-00-0-00-000,8/1/2016
K2012-15214/K2015-01239,28-220-10-26-00-0-00-000,8/1/2016
K2012-15217/K2015-01463,28-510-05-19-00-0-00-000,8/1/2016
K2012-15218/K2015-01709,28-840-18-07-00-0-00-000,8/1/2016
K2012-15225/K2015-03325,47-610-27-21-00-0-00-000,8/1/2016
K2013-15307/K2015-02194,29-740-28-38-02-0-00-000,8/1/2016
K2013-15308/K2015-02201,29-740-32-08-00-0-00-000,8/1/2016
K2013-15316/K2015-15500,31-920-02-21-00-0-00-000,8/1/2016
K2014-01178,28-110-08-09-00-0-00-000,8/1/2016
K2014-01692,28-830-02-02-00-0-00-000,8/1/2016
K2014-02062,29-740-24-15-00-0-00-000,8/1/2016
K2014-15416/K2015-02916,31-530-14-01-00-0-00-000,8/1/2016
