"","Parcel.Number","APN","Date.Sold","KIVA.PIN","Address.Number","Street","Street.Type","Combined.Full.Address","City","State","Longitude","Latitude","Land.Bank"
"1","K2011-01002","12740120800000000",2012-08-01,39932,"213","BROOKLYN","AVE","213   BROOKLYN AVE","Kansas City","Missouri",-94.55527932,39.11177973,"Yes"
"2","K2011-01010","13430101100000000",2012-08-01,38730,"2610","NICHOLSON","AVE","2610   NICHOLSON AVE","Kansas City","Missouri",-94.54959952,39.12455293,"Yes"
"3","K2011-01015","13430202600000000",2012-08-01,38785,"735","PROSPECT","AVE","735  N PROSPECT AVE","Kansas City","Missouri",-94.54989833,39.12199581,"Yes"
"4","K2011-01018","13720051200000000",2012-08-01,45544,"510","WHITE","AVE","510  N WHITE AVE","Kansas City","Missouri",-94.51173937,39.11810952,"Yes"
"5","K2011-01021","13720171100000000",2012-08-01,45674,"327","WHITE","AVE","327  N WHITE AVE","Kansas City","Missouri",-94.51125692,39.1149713,"Yes"
"6","K2011-01023","13720230600000000",2012-08-01,45850,"217","WHEELING","AVE","217  N WHEELING AVE","Kansas City","Missouri",-94.51018193,39.11352972,"Yes"
"7","K2011-01024","13730020500000000",2012-08-01,45911,"107","WHEELING","AVE","107   WHEELING AVE","Kansas City","Missouri",-94.51046673,39.11184605,"Yes"
"8","K2011-01025","13730020600000000",2012-08-01,45912,"109","WHEELING","AVE","109   WHEELING AVE","Kansas City","Missouri",-94.51029494,39.11169115,"Yes"
"9","K2011-01033","13730120800000000",2012-08-01,46251,"425","WHITE","AVE","425   WHITE AVE","Kansas City","Missouri",-94.51139449,39.10779508,"Yes"
"10","K2011-01064","13830222100000000",2012-08-01,44419,"432","CYPRESS","AVE","432   CYPRESS AVE","Kansas City","Missouri",-94.52978441,39.10766152,"Yes"
"11","K2011-01067","13830241100000000",2012-08-01,44438,"437","JACKSON","AVE","437   JACKSON AVE","Kansas City","Missouri",-94.53259859,39.10795135,"Yes"
"12","K2011-01072","13840014202000000",2012-08-01,44904,"110","TOPPING","AVE","110   TOPPING AVE","Kansas City","Missouri",-94.51422099,39.11195921,"Yes"
"13","K2011-01078","13840152900000000",2012-08-01,45248,"422","LAWNDALE","AVE","422   LAWNDALE AVE","Kansas City","Missouri",-94.5157774,39.10785207,"Yes"
"14","K2011-01085","13840272800000000",2012-08-01,45320,"514","OAKLEY","AVE","514   OAKLEY AVE","Kansas City","Missouri",-94.51705545,39.10637376,"Yes"
"15","K2011-01087","13840280200000000",2012-08-01,45366,"501","OAKLEY","AVE","501   OAKLEY AVE","Kansas City","Missouri",-94.51633582,39.10684479,"Yes"
"16","K2011-01094","13920221000000000",2012-08-01,40793,"101","GLADSTONE","BLVD","101  N GLADSTONE BLVD","Kansas City","Missouri",-94.54366853,39.11350558,"Yes"
"17","K2011-01099","13930220100000000",2012-08-01,41207,"3237","GARNER","AVE","3237   GARNER AVE","Kansas City","Missouri",-94.54232571,39.10847851,"Yes"
"18","K2011-01100","13930220200000000",2012-08-01,41208,"3235","GARNER","AVE","3235   GARNER AVE","Kansas City","Missouri",-94.54243433,39.10848195,"Yes"
"19","K2011-01108","13930265000000000",2012-08-01,41148,"2620","AMIE","CT","2620   AMIE CT","Kansas City","Missouri",-94.55005191,39.1086442,"Yes"
