"ï..Case.number","APN","Purchaser","Judgment","Non.judgment.Delinquency","Total.Delinquency","MV.Ascend","X.Del.MV","Improvement.Value","KIVA.PIN","Address.Number","Street","Street.Type","Combined.Full.Address","City","State","Longitude","Latitude","Land.Bank"
"K2016-01684","28840150400000000","Land Bank of Kansas City Missouri","$192.62 ","$1.65","$194.27",94,"206.67%",0,23443,"5505","33RD","TER","5505  E 33RD TER","Kansas City","Missouri",-94.51947709,39.06418239,"No"
"K2016-01685","28840150600000000","Land Bank of Kansas City Missouri","$192.62 ","$1.65","$194.27",94,"206.67%",0,23445,"5501","33RD","TER","5501  E 33RD TER","Kansas City","Missouri",-94.51970229,39.06419005,"No"
"K2016-01168","27410151400000000","Land Bank of Kansas City Missouri","$195.90 ","$2.41","$198.31",137,"144.75%",0,46557,"2120","ASHLAND","CT","2120   ASHLAND CT","Kansas City","Missouri",-94.48728193,39.08359376,"No"
"K2016-01557","28530261600000000","Land Bank of Kansas City Missouri","$203.56 ","$4.26","$207.82",235,"88.43%",0,19584,"2631","KENSINGTON","AVE","2631   KENSINGTON AVE","Kansas City","Missouri",-94.53165773,39.07709365,"No"
"K2016-02881","47110065600000000","Land Bank of Kansas City Missouri","$203.56 ","$4.26","$207.82",235,"88.43%",0,104408,"6026","OLIVE","ST","6026   OLIVE ST","Kansas City","Missouri",-94.55846611,39.01661552,"No"
"K2012-15202/K2015-01158","28110110700000000","Land Bank of Kansas City Missouri","$982.65 ","$9.39","$992.04",244,"406.57%",0,5050,"623","EWING","AVE","623   EWING AVE","Kansas City","Missouri",-94.50249282,39.10374128,"No"
"K2012-15203/K2015-01159","28110111200000000","Land Bank of Kansas City Missouri","$324.40 ","$752.69","$1,077.09",246,"437.84%",0,5121,"633","EWING","AVE","633   EWING AVE","Kansas City","Missouri",-94.50250683,39.10339704,"No"
"K2016-01853","29640061300000000","Land Bank of Kansas City Missouri","$205.18 ","$4.65","$209.83",256,"81.96%",0,14296,"2323","WOODLAND","AVE","2323   WOODLAND AVE","Kansas City","Missouri",-94.56108514,39.08378695,"No"
"K2016-01497","28520362300000000","Land Bank of Kansas City Missouri","$206.77 ","$5.03","$211.80",280,"75.64%",0,18723,"2036","BRIGHTON","AVE","2036   BRIGHTON AVE","Kansas City","Missouri",-94.52472204,39.0857863,"No"
"K2016-01505","28520441800000000","Land Bank of Kansas City Missouri","$206.77 ","$5.03","$211.80",283,"74.84%",0,18534,"2246","SPRUCE","AVE","2246   SPRUCE AVE","Kansas City","Missouri",-94.5329587,39.08433152,"No"
"K2016-01893","29710163300000000","Land Bank of Kansas City Missouri","$208.00 ","$5.33","$213.33",294,"72.56%",0,26765,"2905","EUCLID","AVE","2905   EUCLID AVE","Kansas City","Missouri",-94.55928696,39.07339326,"No"
"K2016-01523","28530124000000000","Land Bank of Kansas City Missouri","$139.40 ","$5.42","$144.82",302,"47.95%",0,19353,"2406","CYPRESS","AVE","2406   CYPRESS AVE","Kansas City","Missouri",-94.53099834,39.08182355,"No"
"K2016-01281","28230230400000000","Land Bank of Kansas City Missouri","$211.22 ","$6.09","$217.31",342,"63.54%",0,8793,"1613","CHELSEA","AVE","1613   CHELSEA AVE","Kansas City","Missouri",-94.52544528,39.09189617,"No"
"K2016-02097","30140040700000000","Land Bank of Kansas City Missouri","$211.68 ","$6.19","$217.87",346,"62.97%",0,136409,"3917","BROOKLYN","AVE","3917   BROOKLYN AVE","Kansas City","Missouri",-94.55790282,39.05499667,"No"
"K2016-01443","28440142800000000","Land Bank of Kansas City Missouri","$214.06 ","$6.77","$220.83",380,"58.11%",0,16910,"2434","NORTON","AVE","2434   NORTON AVE","Kansas City","Missouri",-94.53536371,39.08084544,"No"
"K2012-15216/K2015-01330","28340071700000000","Land Bank of Kansas City Missouri","$438.43 ","$15.67","$454.10",405,"112.12%",0,11456,"1232","BALES","AVE","1232   BALES AVE","Kansas City","Missouri",-94.54135058,39.09730212,"No"
"K2016-01520","28530100700000000","Land Bank of Kansas City Missouri","$220.96 ","$8.43","$229.39",468,"49.01%",0,19403,"2411","JACKSON","AVE","2411   JACKSON AVE","Kansas City","Missouri",-94.53351187,39.08181818,"No"
"K2016-01097","13930150302000000","Land Bank of Kansas City Missouri","$223.29 ","$45.99","$269.28",502,"53.64%",0,223047,"405","WITTE","PL","405   WITTE PL","Kansas City","Missouri",-94.54952961,39.11006396,"No"
"K2016-02138","30330210301000000","Land Bank of Kansas City Missouri","$224.35 ","$9.38","$233.73",523,"44.69%",0,259260,"4205","BELL","ST","4205   BELL ST","Kansas City","Missouri",-94.60602883,39.05203551,"No"
"K2016-02304","31120071400000000","Land Bank of Kansas City Missouri","$226.57 ","$9.90","$236.47",544,"43.47%",0,32485,"3610","BELLAIRE","AVE","3610   BELLAIRE AVE","Kansas City","Missouri",-94.51561187,39.05909086,"No"
"K2016-01504","28520441700000000","Land Bank of Kansas City Missouri","$228.57 ","$10.28","$238.85",574,"41.61%",0,18535,"2248","SPRUCE","AVE","2248   SPRUCE AVE","Kansas City","Missouri",-94.53296506,39.08420677,"No"
"K2016-01848","29630272700000000","Land Bank of Kansas City Missouri","$1,674.52 ","$12.50","$1,687.02",699,"241.35%",0,14011,"2542","WOODLAND","AVE","2542   WOODLAND AVE","Kansas City","Missouri",-94.56196509,39.07948716,"No"
"K2016-01909","29720220700000000","Land Bank of Kansas City Missouri","$735.92 ","$1,388.89","$2,124.81",718,"295.93%",0,27464,"2917","PASEO","","2917   PASEO","Kansas City","Missouri",-94.56624374,39.07329867,"No"
"K2016-02825","46430031900000000","Land Bank of Kansas City Missouri","$241.15 ","$13.27","$254.42",737,"34.52%",0,3469,"3120","72ND","ST","3120  E 72ND ST","Kansas City","Missouri",-94.5501545,38.99616039,"No"
"K2014-16401/K2016-02320","31210082500000000","Land Bank of Kansas City Missouri","$376.46 ","$13.46","$389.92",750,"51.99%",0,260905,"5614","36TH","ST","5614  E 36TH ST","Kansas City","Missouri",-94.51757572,39.05998378,"No"
"K2016-02326","31220070200000000","Land Bank of Kansas City Missouri","$997.24 ","$14.23","$1,011.47",782,"129.34%",0,31197,"4307","35TH","ST","4307  E 35TH ST","Kansas City","Missouri",-94.5330176,39.06176558,"No"
"K2016-02599","31630070300000000","Land Bank of Kansas City Missouri","$256.90 ","$17.44","$274.34",845,"32.47%",0,54069,"6329","SNI-A-BAR","RD","6329   SNI-A-BAR RD","Kansas City","Missouri",-94.51087637,39.03598485,"No"
"K2016-01622","28810280100000000","Land Bank of Kansas City Missouri","$259.66 ","$17.72","$277.38",986,"28.13%",0,22016,"3006","DRURY","AVE","3006   DRURY AVE","Kansas City","Missouri",-94.51968105,39.07051875,"No"
"K2016-02327","31220070400000000","Land Bank of Kansas City Missouri","$921.45 ","$18.74","$940.19",1030,"91.28%",0,31201,"3509","SPRUCE","AVE","3509   SPRUCE AVE","Kansas City","Missouri",-94.53340916,39.0614967,"No"
"K2016-01352","28340180800000000","Land Bank of Kansas City Missouri","$4,209.72 ","$191.73","$4,401.45",1042,"422.40%",0,11560,"1420","ASKEW","AVE","1420   ASKEW AVE","Kansas City","Missouri",-94.54040911,39.09487717,"No"
"K2016-01241","28220041800000000","Land Bank of Kansas City Missouri","$270.95 ","$3,159.94","$3,430.89",1139,"301.22%",0,8244,"618","CYPRESS","AVE","618   CYPRESS AVE","Kansas City","Missouri",-94.52954588,39.104773,"No"
"K2016-01329","28320232800000000","Land Bank of Kansas City Missouri","$270.95 ","$20.44","$291.39",1139,"25.58%",0,10656,"1010","AGNES","AVE","1010   AGNES AVE","Kansas City","Missouri",-94.54729974,39.10089054,"No"
"K2016-01379","28420442300000000","Land Bank of Kansas City Missouri","$283.42 ","$23.42","$306.84",1309,"23.44%",0,15740,"2214","INDIANA","AVE","2214   INDIANA AVE","Kansas City","Missouri",-94.54322489,39.0847611,"No"
"K2016-01400","28430171200000000","Land Bank of Kansas City Missouri","$2,052.80 ","$23.42","$2,076.22",1309,"158.61%",0,16091,"3310","MOULTON","AVE","3310   MOULTON AVE","Kansas City","Missouri",-94.54392702,39.08128019,"No"
"K2016-01700","28910202800000000","Land Bank of Kansas City Missouri","$283.42 ","$23.42","$306.84",1309,"23.44%",0,24066,"2912","MONROE","AVE","2912   MONROE AVE","Kansas City","Missouri",-94.54042121,39.07227579,"No"
"K2016-01749","28930242800000000","Land Bank of Kansas City Missouri","$283.42 ","$23.42","$306.84",1309,"23.44%",0,25604,"3332","INDIANA","AVE","3332   INDIANA AVE","Kansas City","Missouri",-94.54423237,39.06471872,"No"
"K2016-02836","46430150500000000","Land Bank of Kansas City Missouri","$285.82 ","$24.00","$309.82",1336,"23.19%",0,3325,"7215","WALROND","AVE","7215   WALROND AVE","Kansas City","Missouri",-94.54969918,38.99538341,"No"
"K2016-01314","28310323000000000","Land Bank of Kansas City Missouri","$936.33 ","$24.49","$960.82",1366,"70.34%",0,10111,"4011","10TH","ST","4011  E 10TH ST","Kansas City","Missouri",-94.53528553,39.10042718,"No"
"K2016-02600","31630070400000000","Land Bank of Kansas City Missouri","$301.12 ","$28.22","$329.34",1373,"23.99%",0,54157,"6308","WYNDALE","CT","6308   WYNDALE CT","Kansas City","Missouri",-94.51118456,39.03590639,"No"
"K2016-01187","28120151400000000","Land Bank of Kansas City Missouri","$294.29 ","$26.04","$320.33",1450,"22.09%",0,5405,"6408","8TH","ST","6408  E 8TH ST","Kansas City","Missouri",-94.50697268,39.10250349,"No"
"K2016-01243","28220070500000000","Land Bank of Kansas City Missouri","$299.14 ","$1,542.64","$1,841.78",1518,"121.33%",0,8005,"4141","6TH","ST","4141  E 6TH ST","Kansas City","Missouri",-94.532264,39.10451666,"No"
"K2016-02815","46420141700000000","Land Bank of Kansas City Missouri","$12,192.86 ","$28.85","$12,221.71",1607,"760.53%",0,2764,"6844","WALROND","AVE","6844   WALROND AVE","Kansas City","Missouri",-94.54989967,39.00165419,"No"
"K2016-02603","31630120700000000","Land Bank of Kansas City Missouri","$327.84 ","$34.77","$362.61",1690,"21.46%",0,54100,"5814","51ST","ST","5814  E 51ST ST","Kansas City","Missouri",-94.516866,39.03294281,"No"
"K2016-01376","28420371200000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,15632,"2122","MONTGALL","AVE","2122   MONTGALL AVE","Kansas City","Missouri",-94.55123985,39.08565921,"No"
"K2016-01395","28430111600000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,16202,"2424","BENTON","BLVD","2424   BENTON BLVD","Kansas City","Missouri",-94.54916306,39.08195382,"No"
"K2016-01422","28430391200000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,16520,"2639","BENTON","BLVD","2639   BENTON BLVD","Kansas City","Missouri",-94.54855999,39.0774032,"No"
"K2016-01657","28820322700000000","Land Bank of Kansas City Missouri","$2,163.53 ","$31.28","$2,194.81",1746,"125.71%",0,22745,"3002","POPLAR","AVE","3002   POPLAR AVE","Kansas City","Missouri",-94.52701171,39.07061347,"No"
"K2016-01679","28830231600000000","Land Bank of Kansas City Missouri","$1,195.91 ","$31.28","$1,227.19",1746,"70.29%",0,23245,"3442","SPRUCE","AVE","3442   SPRUCE AVE","Kansas City","Missouri",-94.53395597,39.06229362,"No"
"K2016-01704","28910291800000000","Land Bank of Kansas City Missouri","$2,039.78 ","$31.28","$2,071.06",1746,"118.62%",0,24142,"3020","MERSINGTON","AVE","3020   MERSINGTON AVE","Kansas City","Missouri",-94.53817342,39.07002311,"No"
"K2016-01733","28930021100000000","Land Bank of Kansas City Missouri","$1,314.24 ","$31.28","$1,345.52",1746,"77.06%",0,25019,"3015","31ST","ST","3015  E 31ST ST","Kansas City","Missouri",-94.5473839,39.06939947,"No"
"K2016-01767","28940141500000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,26384,"3329","MERSINGTON","AVE","3329   MERSINGTON AVE","Kansas City","Missouri",-94.53788006,39.06438829,"No"
"K2016-02411","31320161500000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,28788,"805","ELMWOOD","AVE","805   ELMWOOD AVE","Kansas City","Missouri",-94.55142725,39.05921308,"No"
"K2016-02418","31320190900000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,28996,"3725","MONTGALL","AVE","3725   MONTGALL AVE","Kansas City","Missouri",-94.5519605,39.0580229,"No"
"K2016-02460","31330140100000000","Land Bank of Kansas City Missouri","$16,874.08 ","$31.28","$16,905.36",1746,"968.23%",0,29591,"4000","BENTON","BLVD","4000   BENTON BLVD","Kansas City","Missouri",-94.54722307,39.05329165,"No"
"K2016-02465","31330160100000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,29424,"4000","INDIANA","AVE","4000   INDIANA AVE","Kansas City","Missouri",-94.54481974,39.05321328,"No"
"K2016-02509","31410060600000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,33943,"4309","ASKEW","AVE","4309   ASKEW AVE","Kansas City","Missouri",-94.54214753,39.04721505,"No"
"K2016-02542","31420122900000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,34568,"4414","AGNES","AVE","4414   AGNES AVE","Kansas City","Missouri",-94.54981482,39.04572396,"No"
"K2016-02548","31420180600000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,34771,"4507","AGNES","AVE","4507   AGNES AVE","Kansas City","Missouri",-94.54976162,39.0440278,"No"
"K2016-02549","31420180700000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,34772,"4509","AGNES","AVE","4509   AGNES AVE","Kansas City","Missouri",-94.5497671,39.04392928,"No"
"K2016-02552","31420193400000000","Land Bank of Kansas City Missouri","$316.14 ","$31.28","$347.42",1746,"19.90%",0,34799,"4504","AGNES","AVE","4504   AGNES AVE","Kansas City","Missouri",-94.55027985,39.04424302,"No"
"K2016-02562","31430140300000000","Land Bank of Kansas City Missouri","$777.16 ","$9,164.14","$9,941.30",1746,"569.38%",0,35096,"4901","SOUTH BENTON","AVE","4901   SOUTH BENTON AVE","Kansas City","Missouri",-94.5508239,39.03710004,"No"
"K2014-02564","31310270100000000","Land Bank of Kansas City Missouri","$436.66 ","$171.44","$608.10",1746,"34.83%",0,28199,"3800","CLEVELAND","AVE","3800   CLEVELAND AVE","Kansas City","Missouri",-94.54001837,39.0566755,"No"
"K2014-02566","31310272700000000","Land Bank of Kansas City Missouri","$436.66 ","$171.44","$608.10",1746,"34.83%",0,28198,"3804","CLEVELAND","AVE","3804   CLEVELAND AVE","Kansas City","Missouri",-94.54002453,39.05657036,"No"
"K2016-01185","28120101100000000","Land Bank of Kansas City Missouri","$14,018.74 ","$34.86","$14,053.60",1943,"723.29%",0,5480,"821","SMITH","AVE","821   SMITH AVE","Kansas City","Missouri",-94.51209438,39.10161296,"No"
"K2016-01413","28430323900000000","Land Bank of Kansas City Missouri","$335.90 ","$36.02","$371.92",2007,"18.53%",0,16780,"2502","COLLEGE","AVE","2502   COLLEGE AVE","Kansas City","Missouri",-94.54484678,39.08023438,"No"
"K2016-02368","31310113302000000","Land Bank of Kansas City Missouri","$335.90 ","$36.02","$371.92",2007,"18.53%",305,27959,"3636","MONROE","AVE","3636   MONROE AVE","Kansas City","Missouri",-94.54102789,39.05900914,"No"
"K2016-02742","46320111500000000","Land Bank of Kansas City Missouri","$345.20 ","$38.24","$383.44",2130,"18.00%",0,1089,"2900","61ST","ST","2900  E 61ST ST","Kansas City","Missouri",-94.55234015,39.01599256,"No"
"K2016-01691","28910060900000000","Land Bank of Kansas City Missouri","$348.83 ","$39.11","$387.94",2183,"17.77%",0,23648,"2715","ASKEW","AVE","2715   ASKEW AVE","Kansas City","Missouri",-94.54069128,39.07612323,"No"
"K2016-01879","29710080900000000","Land Bank of Kansas City Missouri","$351.25 ","$39.71","$390.96",2214,"17.66%",0,26492,"2823","PARK","AVE","2823   PARK AVE","Kansas City","Missouri",-94.55575887,39.07456106,"No"
"K2016-01583","28540252300000000","Land Bank of Kansas City Missouri","$360.86 ","$42.03","$402.89",2345,"17.18%",0,20737,"2614","LAWNDALE","AVE","2614   LAWNDALE AVE","Kansas City","Missouri",-94.51709822,39.07694031,"No"
"K2016-01051","13810201900000000","Land Bank of Kansas City Missouri","$372.16 ","$44.73","$416.89",2497,"16.70%",0,42852,"5210","SCARRITT","AVE","5210   SCARRITT AVE","Kansas City","Missouri",-94.52016596,39.11448068,"No"
"K2016-01076","13840122100000000","Land Bank of Kansas City Missouri","$377.37 ","$45.99","$423.36",2562,"16.52%",0,44860,"351","OAKLEY","AVE","351   OAKLEY AVE","Kansas City","Missouri",-94.5162145,39.10887107,"No"
"K2016-02287","30740200100000000","Land Bank of Kansas City Missouri","$379.45 ","$47.10","$426.55",2592,"16.46%",0,148327,"5700","PARK","AVE","5700   PARK AVE","Kansas City","Missouri",-94.55922902,39.02295283,"No"
"K2016-02234","30710020800000000","Land Bank of Kansas City Missouri","$951.07 ","$47.26","$998.33",2635,"37.89%",0,145352,"5115","OLIVE","ST","5115   OLIVE ST","Kansas City","Missouri",-94.55677763,39.03309599,"No"
"K2016-02196","30620140500000000","Land Bank of Kansas City Missouri","$2,209.53 ","$3,930.55","$6,140.08",2641,"232.49%",0,137534,"4409","FLORA","AVE","4409   FLORA AVE","Kansas City","Missouri",-94.56652187,39.04638462,"No"
"K2016-02508","31410032500000000","Land Bank of Kansas City Missouri","$378.99 ","$47.35","$426.34",2641,"16.14%",0,33734,"4304","MYRTLE","AVE","4304   MYRTLE AVE","Kansas City","Missouri",-94.53819023,39.04731119,"No"
"K2016-02291","30740203700000000","Land Bank of Kansas City Missouri","$384.69 ","$48.38","$433.07",2664,"16.26%",0,148328,"5702","PARK","AVE","5702   PARK AVE","Kansas City","Missouri",-94.55923312,39.02287038,"No"
"K2016-02530","31410241400000000","Land Bank of Kansas City Missouri","$2,575.12 ","$49.48","$2,624.60",2759,"95.13%",631,34183,"4547","INDIANA","AVE","4547   INDIANA AVE","Kansas City","Missouri",-94.54470655,39.04261477,"No"
"K2016-01585","28610033000000000","Land Bank of Kansas City Missouri","$395.56 ","$50.34","$445.90",2809,"15.87%",0,20793,"7109","17TH","ST","7109  E 17TH ST","Kansas City","Missouri",-94.49958981,39.08969001,"No"
